#################################
#       #                       #
#       #        #############  #
#   X       O   ##...........#  #
#       #        #...........#  #
#       #        #...........#  #
##################...........#  #
.............................#  #
##############################  #
#                               #
#                               #
#                               #
#          O    O               #
#                               #
#                               #
#                               #
#################################
